date,open,high,low,close,volume
2017-03-14,33800,34350,33750,34200,332088
2017-03-15,34400,34500,34200,34350,226268
2017-03-16,34850,35150,34400,34600,271160
2017-03-17,34950,36100,34600,35900,509209
2017-03-20,35900,36350,35650,35950,405325
2017-03-21,36400,36400,35750,35950,444762
2017-03-22,36250,37600,36100,37500,834410
2017-03-23,37850,37850,36900,37300,289531
2017-03-24,37300,37500,36550,37150,402208
2017-03-27,36700,37300,36600,37300,279021
2017-03-28,37550,37550,36600,36800,186388
2017-03-29,37000,37100,36400,37000,209687
2017-03-30,37000,38150,36700,38150,453928
2017-03-31,38000,38350,37500,38200,413646
2017-04-03,38400,38400,37200,37400,322649
2017-04-04,37150,37350,36900,37300,204113
2017-04-05,37300,37300,36550,37250,280813
2017-04-06,36800,36850,36250,36600,330017
2017-04-07,36600,37000,36450,37000,275268
2017-04-10,36600,36950,36150,36450,160295
2017-04-11,36100,36550,35850,36000,367430
2017-04-12,35750,36350,35750,36000,158395
2017-04-13,36350,37500,36250,37300,356963
2017-04-14,37300,37350,36900,37350,241654
2017-04-17,37300,37600,36750,37050,169197
2017-04-18,37350,37800,37050,37500,194165
2017-04-19,37050,37300,36550,36800,261381
2017-04-20,37000,37650,36500,37600,228081
2017-04-21,37050,37550,37000,37500,234698
2017-04-24,37600,37600,36950,36950,189701
2017-04-25,36900,37550,36850,37550,243200
2017-04-26,37650,37800,37250,37650,203896
2017-04-27,37750,38100,37350,37400,287463
2017-04-28,36550,36850,36000,36150,449467
2017-05-02,36350,37100,36200,36800,411988
2017-05-04,36550,37400,36550,37100,291891
2017-05-08,36750,37600,36700,37600,387967
2017-05-10,38000,38950,37500,37800,500798
2017-05-11,38000,38850,38000,38800,454269
2017-05-12,38900,38900,38250,38550,158621
2017-05-15,38800,39250,38250,38550,173808
2017-05-16,38500,38500,36650,36900,499267
2017-05-17,36900,37300,36750,36850,228237
2017-05-18,36750,36850,36150,36250,348330
2017-05-19,36250,36800,36250,36500,239068
2017-05-22,36900,36900,36100,36100,305210
2017-05-23,36100,36850,36100,36450,342587
2017-05-24,36650,37150,36500,36950,312704
2017-05-25,37000,37050,36600,36700,207736
2017-05-26,36700,36850,36500,36550,285090
2017-05-29,36550,36700,36000,36050,465517
2017-05-30,36100,36600,36100,36250,527170
2017-05-31,36300,36500,36150,36250,520407
2017-06-01,36250,36550,36150,36200,874926
2017-06-02,36450,37200,36400,37150,422194
2017-06-05,37200,37400,36500,36600,275351
2017-06-07,36150,36500,36050,36050,495586
2017-06-08,36100,36250,35900,35950,808692
2017-06-09,35900,35950,35300,35300,807252
2017-06-12,35100,35650,35100,35600,251392
2017-06-13,35700,35800,35450,35800,168323
2017-06-14,35400,35800,35350,35350,282049
2017-06-15,35350,35650,35300,35450,228695
2017-06-16,35450,35450,35000,35200,341284
2017-06-19,35050,35450,35050,35350,147002
2017-06-20,35050,35100,34600,34600,317564
2017-06-21,34800,35200,34700,34950,319251
2017-06-22,35200,35550,34800,35500,268902
2017-06-23,35550,35600,35050,35150,172345
2017-06-26,35150,35400,34900,35000,139755
2017-06-27,35050,35300,35000,35100,211886
2017-06-28,35300,35400,35000,35400,185177
2017-06-29,35400,35400,35000,35050,177792
2017-06-30,35000,35150,34800,34850,400422
2017-07-03,35000,35400,34800,35400,205345
2017-07-04,35100,35400,35000,35300,194859
2017-07-05,35000,35300,34900,34900,165395
2017-07-06,34850,35050,34750,34850,164215
2017-07-07,34800,35100,34750,34800,163945
2017-07-10,34700,34750,34000,34000,328236
2017-07-11,34100,34550,34050,34300,227545
2017-07-12,34150,34550,33900,34050,298530
2017-07-13,34200,34200,33400,33400,404737
2017-07-14,33400,33900,33350,33700,192370
2017-07-17,33950,34650,33800,34350,306711
2017-07-18,34600,34650,34400,34500,185993
2017-07-19,34700,35250,34600,35050,390015
2017-07-20,35200,35250,34900,34950,163605
2017-07-21,34800,34950,34500,34500,210852
2017-07-24,34900,34900,34500,34550,130635
2017-07-25,34950,35750,34900,35500,456317
2017-07-26,35750,35800,35250,35350,336187
2017-07-27,35800,37000,35600,36900,619451
2017-07-28,36800,37450,36500,36900,575140
2017-07-31,36750,37550,36550,37000,578633
2017-08-01,37000,37900,36950,37650,362929
2017-08-02,37500,37600,36850,37050,197874
2017-08-03,36700,37200,36650,36800,242350
2017-08-04,36550,37050,36450,36500,160499
2017-08-07,36550,36950,36250,36300,170457
2017-08-08,36300,36800,36000,36200,211529
2017-08-09,36450,37450,36400,37300,451654
2017-08-10,36850,36950,35750,35900,512869
2017-08-11,35550,36250,35350,35650,262306
